STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-03,0,,65,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-04,0,,72,51
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-05,0,,74,55
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-06,0,,74,52
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-07,0,,68,50
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-08,0,,63,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-09,0,,72,51
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-10,0,,78,58
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-11,0,,85,64
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-12,0,,86,71
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-13,0,,89,72
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-14,0,,89,66
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-15,0,,87,67
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-16,0,,93,74
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-17,0,,93,66
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-18,0,,88,70
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-19,0,,83,65
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-20,0,,85,66
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-21,0,,84,67
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-22,0,,71,61
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-23,0,,77,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-24,0,,78,67
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-25,0,,86,69
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-26,0,,88,71
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-27,0,,89,74
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-28,0,,84,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-29,0,,77,59
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-30,0,,78,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-07-31,0,,78,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-01,0,,85,64
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-02,0,,90,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-03,0,,89,64
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-04,0,,83,63
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-05,0,,78,56
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-06,0,,79,61
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-07,0,,83,60
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-08,0,,82,68
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-09,0,,81,64
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-10,0,,73,54
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-11,0,,73,54
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-12,0,,73,62
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-13,0,,71,49
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-08-14,0,,71,54
